order_year,category,total_sales,total_profit
2014,Furniture,157192.8531,5457.725500000006
2014,Office Supplies,151776.4120000001,22593.416099999973
2014,Technology,175278.23300000007,21492.8325
2015,Furniture,170518.2370000001,3015.2028999999993
2015,Office Supplies,137233.46299999976,25099.533800000005
2015,Technology,162780.8089999999,33503.866999999984
2016,Furniture,198901.4360000002,6959.953099999998
2016,Office Supplies,183939.98199999996,35061.22919999997
2016,Technology,226364.1800000001,39773.99199999999
2017,Furniture,215387.26920000004,3018.3912999999957
2017,Office Supplies,246097.17500000025,39736.62170000004
2017,Technology,271730.8110000001,50684.25660000002
