category,discount_band,total_sales,total_profit,avg_margin
Furniture,0%,256025.2700000001,58133.07640000006,0.29
Furniture,1-10%,46634.247,7111.011899999999,0.132
Furniture,11-20%,244189.5375000004,7684.940600000002,0.069
Furniture,21-30%,99470.34999999989,-10695.316900000002,-0.121
Furniture,31-40%,60107.8648,-18578.534499999998,-0.297
Furniture,41-49%,5484.974,-2493.1111,-0.455
Furniture,50%+,30087.55200000001,-22710.793599999997,-0.743
Office Supplies,0%,442150.00000000146,130506.10639999984,0.367
Office Supplies,1-10%,4324.149,1086.0808,0.249
Office Supplies,11-20%,233049.73600000047,38038.75119999998,0.232
Office Supplies,50%+,39523.147000000055,-47140.13759999995,-1.222
Technology,0%,389733.1999999991,132348.4204000001,0.289
Technology,1-10%,3410.955,832.0843,0.328
Technology,11-20%,314913.616,46032.605699999986,0.111
Technology,21-30%,3756.3050000000003,326.0395,0.114
Technology,31-40%,70803.37799999997,-6869.653599999999,-0.154
Technology,50%+,53536.579,-27214.548199999994,-0.758
