region,state,total_sales,total_profit,margin,order_count
Central,Texas,170188.04580000002,-25729.3563,-0.15,487
East,Ohio,78258.13599999993,-16971.376600000018,-0.22,236
East,Pennsylvania,116511.91400000003,-15559.960300000013,-0.13,288
Central,Illinois,80166.10099999986,-12607.88699999998,-0.16,276
South,North Carolina,55603.16399999997,-7490.912200000003,-0.13,136
West,Colorado,32108.117999999995,-6527.857900000001,-0.2,79
South,Tennessee,30661.87299999998,-5341.6936,-0.17,91
West,Arizona,35282.001,-3427.9246,-0.1,108
South,Florida,89473.708,-3399.3017,-0.04,200
West,Oregon,17431.14999999999,-1190.4704999999992,-0.07,56
West,Wyoming,1603.136,100.196,0.06,1
East,West Virginia,1209.824,185.9216,0.15,2
Central,North Dakota,919.91,230.14969999999997,0.25,2
Central,South Dakota,1315.5600000000002,394.8283,0.3,5
East,Maine,1270.5300000000002,454.4862,0.36,3
West,Idaho,4382.486000000002,826.7230999999999,0.19,11
Central,Kansas,2914.31,836.4435000000001,0.29,14
East,District of Columbia,2865.0199999999995,1059.5892999999999,0.37,4
West,New Mexico,4783.521999999999,1157.1161,0.24,22
Central,Iowa,4579.759999999999,1183.8119000000002,0.26,17
East,New Hampshire,7292.523999999999,1706.5028,0.23,17
South,South Carolina,8481.71,1769.0566000000003,0.21,20
West,Montana,5589.351999999997,1833.3285,0.33,8
Central,Nebraska,7464.9299999999985,2037.0942000000007,0.27,23
South,Louisiana,9217.029999999999,2196.102300000001,0.24,21
East,Vermont,8929.369999999999,2244.9783,0.25,6
West,Utah,11220.055999999999,2546.5335000000005,0.23,26
South,Mississippi,10771.34,3172.9761999999982,0.29,26
West,Nevada,16729.102,3316.7659,0.2,23
East,Connecticut,13384.356999999996,3511.4918000000002,0.26,45
South,Arkansas,11678.129999999997,4008.6871,0.34,27
Central,Oklahoma,19683.39,4853.956,0.25,34
South,Alabama,19510.639999999992,5786.825299999999,0.3,34
Central,Missouri,22205.149999999998,6436.210499999999,0.29,30
East,Massachusetts,28634.433999999994,6785.501600000005,0.24,62
East,Maryland,23705.523,7031.178799999997,0.3,46
East,Rhode Island,22627.955999999995,7285.629300000001,0.32,25
Central,Wisconsin,32114.61000000002,8401.800399999998,0.26,53
East,New Jersey,35764.31200000001,9772.9138,0.27,61
East,Delaware,27451.068999999992,9977.374800000001,0.36,44
Central,Minnesota,29863.149999999994,10823.1874,0.36,44
South,Kentucky,36591.74999999997,11199.696600000005,0.31,61
South,Georgia,49095.840000000004,16250.043300000003,0.33,91
Central,Indiana,53555.36,18382.936300000005,0.34,73
South,Virginia,70636.71999999999,18597.9504,0.26,115
Central,Michigan,76269.61400000002,24463.187599999994,0.32,117
West,Washington,138641.26999999993,33402.651699999995,0.24,256
East,New York,310876.2709999998,74038.54860000005,0.24,562
West,California,457687.631500001,76381.38710000017,0.17,1021
